Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

TP14       TEST_PAD         -1325.772mil   -901.575mil  -1325.772mil   -901.575mil  -1325.772mil   -901.575mil  B        270.00 TP             
TP13       TEST_PAD         -1325.772mil   -1039.37mil  -1325.772mil   -1039.37mil  -1325.772mil   -1039.37mil  B        270.00 TP             
TP12       TEST_PAD         -1326.772mil    -289.37mil  -1326.772mil    -289.37mil  -1326.772mil    -289.37mil  B        270.00 TP             
TP11       TEST_PAD         -1326.772mil   -427.165mil  -1326.772mil   -427.165mil  -1326.772mil   -427.165mil  B        270.00 TP             
TP10       TEST_PAD         -1326.756mil    324.803mil  -1326.756mil    324.803mil  -1326.756mil    324.803mil  B        270.00 TP             
TP9        TEST_PAD         -1326.756mil    187.008mil  -1326.756mil    187.008mil  -1326.756mil    187.008mil  B        270.00 TP             
TP8        TEST_PAD          -149.606mil    409.449mil   -149.606mil    409.449mil   -149.606mil    409.449mil  B        270.00 TP             
TP7        TEST_PAD           433.071mil    625.991mil    433.071mil    625.991mil    433.071mil    625.991mil  B        270.00 TP             
TP6        TEST_PAD            98.425mil    409.455mil     98.425mil    409.455mil     98.425mil    409.455mil  B        270.00 TP             
TP5        TEST_PAD          -590.551mil     996.07mil   -590.551mil     996.07mil   -590.551mil     996.07mil  B        270.00 TP             
TP4        TEST_PAD          -590.551mil    586.621mil   -590.551mil    586.621mil   -590.551mil    586.621mil  B        270.00 TP             
TP3        TEST_PAD          -590.551mil    716.542mil   -590.551mil    716.542mil   -590.551mil    716.542mil  B        270.00 TP             
TP2        TEST_PAD           433.071mil    1035.44mil    433.071mil    1035.44mil    433.071mil    1035.44mil  B        270.00 TP             
TP1        TEST_PAD           433.068mil   1165.354mil    433.068mil   1165.354mil    433.068mil   1165.354mil  B        180.00 TP             
R26        0402               472.441mil   -642.717mil    472.441mil   -642.717mil    472.441mil   -662.402mil  T         90.00 DNP            
R25        0402               350.394mil   -674.213mil    350.394mil   -674.213mil    330.709mil   -674.213mil  T        360.00 10K            
R22        0402             -1096.511mil    1159.68mil  -1096.511mil    1159.68mil  -1096.511mil   1139.995mil  T         90.00 10K            
R21        0805               1221.26mil     520.63mil    1221.26mil     520.63mil    1221.26mil    483.228mil  T         90.00 0.2R           
R20        0805               1221.26mil   -117.165mil    1221.26mil   -117.165mil    1221.26mil   -154.567mil  T         90.00 0.2R           
R19        0805               1221.26mil   -757.913mil    1221.26mil   -757.913mil    1221.26mil   -795.315mil  T         90.00 0.2R           
R18        0402               425.197mil    783.465mil    425.197mil    783.465mil    405.512mil    783.465mil  T        360.00 10K            
